jahr;biomasse_kwh;wind_kwh;abfall_kwh;trinkwasserkraftwerk_kwh;klein_wasserkraftwerk_kwh;photovoltaik_kwh;wasserkraft_kwh
1981;;;;;;;7383000000.0
1985;;;;;;;7300000000.0
1987;;;;;;;6856000000.0
1992;;;23000000.0;;;122500.0;7248000000.0
1993;;;22000000.0;;;125500.0;7120000000.0
1995;;;22000000.0;;;130900.0;7651000000.0
2006;;;63000000.0;;;1216112.0;5612000000.0
2009;;;49000000.0;;;4098053.0;8496000000.0
2018;81478464.0;4920000.0;48000000.0;23889811.0;340712581.0;60182799.4;7402000000.0
2020;86258045.0;4541000.0;43000000.0;37410192.0;425493400.0;79604447.9;8204000000.0
2023;75705213.0;4400000.0;40137000.0;33282153.0;309904580.0;142624540.5;7575000000.0
1982;;;;;;;7679000000.0
1984;;;;;;;6164000000.0
1986;;;;;;;7099000000.0
1988;;;;;;;7282000000.0
1989;;;;;;110000.0;6657000000.0
1996;;;20000000.0;;;140900.0;6246000000.0
1997;;;21000000.0;;;142600.0;7890000000.0
1998;;;18000000.0;;;144300.0;7397000000.0
1999;;;16000000.0;;;334300.0;8777000000.0
2001;;;16000000.0;;;595338.0;10668000000.0
2002;;;15000000.0;;;693638.0;7708000000.0
2005;;;38000000.0;;;1122315.0;6603000000.0
2007;;;54000000.0;;;1428165.0;6991000000.0
2012;111339440.0;;62000000.0;15687751.0;100306290.0;15502467.0;8102000000.0
2015;18710534.0;4278000.0;46000000.0;23303726.0;167442764.0;42186726.6;8866000000.0
2019;87595049.0;4639000.0;44000000.0;31614931.0;400113143.0;66888516.1;8039000000.0
2021;84887134.0;4379000.0;40100000.0;34971069.0;382054764.0;91863414.9;7829000000.0
2022;74721273.0;4465000.0;40334000.0;30345196.0;351372488.0;111510769.1;5062431000.0
1983;;;;;;;8219000000.0
1990;;;;;;116000.0;5639000000.0
1991;;;26000000.0;;;119500.0;6396000000.0
1994;;;25000000.0;;;127500.0;9283000000.0
2000;;;15000000.0;;;427900.0;8837000000.0
2003;;;18000000.0;;;717748.0;7862000000.0
2004;;;17000000.0;;;812948.0;6978000000.0
2008;;;54000000.0;;;2087773.0;8196000000.0
2010;;;52000000.0;;;6258699.0;7335000000.0
2011;87673174.0;;64000000.0;13833776.0;64691484.0;9195216.0;7905000000.0
2013;116381507.0;3547276.0;56000000.0;17049022.0;127023304.0;24498629.0;7827000000.0
2014;119476435.0;4340000.0;49000000.0;23380255.0;152405861.0;30478701.5;9075000000.0
2016;34461945.0;4372000.0;44000000.0;24282796.0;284667951.0;47734078.6;7717000000.0
2017;95461056.0;4137628.0;46000000.0;25260155.0;353783512.0;54362471.3;7047000000.0
2024;75843725.0;4773000.0;54452000.0;38647313.0;381709879.0;185118309.9;10185136000.0
